epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,74.8157,1.33871,1.13898,0.02004,0.61484,0.51528,0.70574,0.49165,1.68402,1.56904,0.0117,7.30541e-05,7.30541e-05,7.30541e-05
41,76.9637,0.84804,0.75667,0.01094,0.61484,0.51528,0.70574,0.49165,1.68402,1.56904,0.0117,7.1876e-05,7.1876e-05,7.1876e-05
42,78.8662,0.94231,1.17622,0.01227,0.61484,0.51528,0.70574,0.49165,1.68402,1.56904,0.0117,7.06979e-05,7.06979e-05,7.06979e-05
43,80.8136,0.47053,2.0802,0.00906,0.61283,0.51581,0.70574,0.47188,1.89183,1.26715,0.01566,6.95198e-05,6.95198e-05,6.95198e-05
44,82.9451,0.74867,0.82544,0.01071,0.61283,0.51581,0.70574,0.47188,1.89183,1.26715,0.01566,6.83417e-05,6.83417e-05,6.83417e-05
45,84.8689,0.61135,0.86895,0.00919,0.61283,0.51581,0.70574,0.47188,1.89183,1.26715,0.01566,6.71636e-05,6.71636e-05,6.71636e-05
46,87.0712,1.06974,1.13991,0.01482,0.60749,0.50471,0.71048,0.47659,1.91833,1.28912,0.01611,6.59855e-05,6.59855e-05,6.59855e-05
47,89.4667,0.76828,0.6685,0.0086,0.60749,0.50471,0.71048,0.47659,1.91833,1.28912,0.01611,6.48074e-05,6.48074e-05,6.48074e-05
48,91.8892,0.7515,0.75855,0.0086,0.60749,0.50471,0.71048,0.47659,1.91833,1.28912,0.01611,6.36293e-05,6.36293e-05,6.36293e-05
49,94.0347,1.03443,1.13991,0.01382,0.63237,0.39825,0.67788,0.44229,1.9348,1.31458,0.01634,6.24512e-05,6.24512e-05,6.24512e-05
50,96.0772,0.84372,0.67691,0.00995,0.63237,0.39825,0.67788,0.44229,1.9348,1.31458,0.01634,6.12731e-05,6.12731e-05,6.12731e-05
51,97.9621,0.77078,0.77925,0.00874,0.63237,0.39825,0.67788,0.44229,1.9348,1.31458,0.01634,6.0095e-05,6.0095e-05,6.0095e-05
52,99.9716,0.96788,0.63734,0.00803,0.59934,0.4814,0.67872,0.42901,1.95298,1.34596,0.0166,5.89169e-05,5.89169e-05,5.89169e-05
