epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1396.76,1.33744,1.04775,0.02625,0.85363,0.81543,0.85476,0.4462,1.75624,1.04118,0.04497,0.000663082,0.000663082,0.000663082
2,2707.66,1.44616,1.18959,0.02995,0.77855,0.7741,0.78579,0.38675,1.8928,1.16525,0.05221,0.00106646,0.00106646,0.00106646
3,4073.84,1.46306,1.15446,0.02992,0.90343,0.82094,0.89041,0.4687,1.63395,0.95272,0.04012,0.00120584,0.00120584,0.00120584
4,5463.09,1.37128,1.03644,0.02788,0.92599,0.84022,0.90904,0.52471,1.56809,0.89794,0.03748,0.000812,0.000812,0.000812
5,6759.51,1.31139,0.9662,0.02576,0.87062,0.88985,0.91227,0.52164,1.54067,0.82702,0.03786,0.000416,0.000416,0.000416
